AS400,,,,BI,,,,,,,
288,10229GNS,,,288,10229GNS,,0.00,,,,
92.16,10613VEN,,,92.16,10613VEN,,0.00,,,,
3919.2,11888SLS,,,3919.2,11888SLS,,0.00,,,,
375,11921CGS,,,375,11921CGS,,0.00,,,,
1500,11922CGS,,,1500,11922CGS,,0.00,,,,
1825,11933CLG,,,1825,11933CLG,,0.00,,,,
438,12211CLG,,,438,12211CLG,,0.00,,,,
1284,12212CLG,,,1284,12212CLG,,0.00,,,,
97350,12237TRI,,,97350,12237TRI,,0.00,,,,
21,12335GNS,,,21,12335GNS,,0.00,,,,
18836.48,12463DEN,,,18836.48,12463DEN,,0.00,,,,
25.48,13029BKE,,,25.48,13029BKE,,0.00,,,,
4224,13083CLG,,,4224,13083CLG,,0.00,,,,
15765.6,13118VEN,,,15765.6,13118VEN,,0.00,,,,
2433.75,13201TRI,,,2433.75,13201TRI,,0.00,,,,
1788.8,13314TRH,,,1788.8,13314TRH,,0.00,,,,
16665.6,13323GDH,,,16665.6,13323GDH,,0.00,,,,
7200,13368CLG,,,7200,13368CLG,,0.00,,,,
7200,13369CLG,,,7200,13369CLG,,0.00,,,,
11892,13381BAK,,,11892,13381BAK,,0.00,,,,
7280.64,13420HVR,,,7280.64,13420HVR,,0.00,,,,
5068.8,13440HVR,,,5068.8,13440HVR,,0.00,,,,
1260000,13506DEN,,,1260000,13506DEN,,0.00,,,,
33528,13512DEN,,,33528,13512DEN,,0.00,,,,
3416.66,13661DNS,,,3416.66,13661DNS,,0.00,,,,
10612.8,13687PRI,,,10612.8,13687PRI,,0.00,,,,
13005.3,13688PHA,,,13005.3,13688PHA,,0.00,,,,
2373.6,13791VEN,,,2373.6,13791VEN,,0.00,,,,
28700,13832CRH,,,28700,13832CRH,,0.00,,,,
3072,13880IGR,,,3072,13880IGR,,0.00,,,,
18694.8,13958RRB,,,18731.88,13958RRB,,-37.08,,,,
21352,14114A&W,,,21352,14114A&W,,0.00,,,,
2297.75,14121HVR,,,2297.75,14121HVR,,0.00,,,,
9132,14193OPR,,,9132,14193OPR,,0.00,,,,
9440,14277SLK,,,9440,14277SLK,,0.00,,,,
29832,14305DEN,,,29832,14305DEN,,0.00,,,,
295171.2,14318CHP,,,295171.2,14318CHP,,0.00,,,,
1019.2,14321VEN,,,1019.2,14321VEN,,0.00,,,,
135997.2,14330BRK,,,135997.2,14330BRK,,0.00,,,,
41810.88,14533GUY,,,41810.88,14533GUY,,0.00,,,,
315031.25,14774BRK,,,315031.25,14774BRK,,0.00,,,,
288862.5,14779BRK,,,288862.5,14779BRK,,0.00,,,,
513968.55,14781BRK,,,513968.55,14781BRK,,0.00,,,,
177700,14784PJN,,,177700,14784PJN,,0.00,,,,
23400,14803VEN,,,23400,14803VEN,,0.00,,,,
45540,15050VEN,,,45540,15050VEN,,0.00,,,,
